Tên Trường,Latitude,Longitude
Đại Học Công Nghiệp Việt Trì,21.3126913,105.3994741
Đại Học Công Nghệ Vạn Xuân,18.7882595,105.7181169
Đại Học Bà Rịa – Vũng Tàu,10.36421,107.083699
Đại Học Công Nghệ và Quản Lý Hữu Nghị,20.9828441,105.8653761
Đại Học Công Thương TPHCM,10.7997357,106.6268017
Đại Học Dân Lập Phú Xuân,,
Đại Học Dầu Khí Việt Nam,10.4854632,107.1947594
Đại Học Đông Á,21.0393966,105.7419968
Đại Học Đông Đô,10.8603862,106.6945185
Đại Học Hoa Lư,20.2525683,105.9504482
Đại Học Hoa Sen,10.7703228,106.6924425
Đại Học Hùng Vương,21.4031426,105.2146499
Đại Học Khoa Học Và Công Nghệ Hà Nội,21.0175618,105.5280662
Đại Học Kiến Trúc Đà Nẵng,16.0327145,108.2224383
Đại Học Kinh Bắc,21.1324916,105.9736188
Đại Học Kinh Tế Công Nghiệp Long An,10.5100407,106.381338
Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên,21.5495398,105.8435019
Đại Học Kỹ Thuật Y Tế Hải Dương,20.9390722,106.3049346
Đại Học Lâm Nghiệp ( Cơ sở 1 ),,
Đại Học Mở TPHCM,10.7610967,106.6922413
Đại Học Mỹ Thuật Công Nghiệp Á Châu,,
Đại học Nam Cần Thơ,10.0055842,105.7222992
Đại Học Phenikaa,20.9611686,105.7476241
"Đại Học Sân Khấu, Điện Ảnh TPHCM",,
Đại Học Tây Đô,9.9996328,105.7603108
Đại Học Thái Bình,20.4713688,106.319261
Đại Học Thành Đông,21.0022278,105.8313173
Đại Học Thể Dục Thể Thao TPHCM,10.8705279,106.7961385
Đại Học Thủy Lợi (Cơ sở 2),10.7927634,106.7065764
"Đại Học Văn Hóa, Thể Thao Và Du Lịch Thanh Hóa",,
Đại Học Võ Trường Toản,10.872056,106.7957811
Đại học Y khoa Tokyo Việt Nam,20.9643058,105.9336311
Đại Học Yersin Đà Lạt,11.964868,108.4358821
ĐH Tân Tạo,10.7921811,106.4412688
Học Viện Hành Chính Quốc Gia (phía Bắc),,
Học Viên Ngân Hàng ( Phân Viện Phú Yên ),13.0972433,109.3173476
Học Viện Ngân Hàng Phân Viện Bắc Ninh,21.1851743,106.0695321
Học Viện Quản Lý Giáo Dục,20.9904495,105.8384906
Phân hiệu Đại học Nông Lâm TP. HCM tại Gia Lai,,
Phân hiệu Đại học Nông Lâm TP. HCM tại Ninh Thuận,,
Phân hiệu Đại học Y Hà Nội tại Thanh Hóa,19.7771711,105.7744189
Trường Quản Trị và Kinh Doanh - Đại học Quốc gia Hà Nội,,
Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Bắc),,
Học Viện Chính Trị Công An Nhân Dân,,
Khoa Kỹ thuật và Công nghệ - Đại học Huế,,
Đại học Việt Nhật - ĐH Quốc gia Hà Nội,,
Đại Học An Ninh Nhân Dân,10.8716254,106.8067183
Đại Học Hòa Bình,21.0317868,105.7658611
Đại Học Kỹ Thuật - Hậu Cần Công An Nhân Dân (Phía Nam),,
Học viện Quốc tế,21.0234519,105.8065313
Khoa Chính trị - Hành chính (Đại học Quốc gia TP HCM),,
Khoa Quốc tế - Đại học Huế,16.4587314,107.5811117
Phân hiệu Đại học Quốc gia TP.HCM tại Bến Tre,10.2698059,106.3604937
SIS - Khoa các khoa học liên ngành - ĐH Quốc gia Hà Nội,,
Đại Học Trưng Vương,16.0674719,108.2184436
Đại học Quản lý và Công nghệ TPHCM,10.7740881,106.7980152
Trường Sĩ Quan Thông Tin - Hệ Dân Sự - Đại Học Thông Tin Liên Lạc,,
Đại Học Lâm Nghiệp (Cơ sở 3) - Phân hiệu Gia Lai,,
Đại học CMC,20.9801871,105.7662902
Đại học Ngô Quyền,20.8430962,106.6977704
,15.9266657,107.9650855
