Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX26,Hàn Quốc,A01,26.2,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX26,Hàn Quốc,D78,27.13,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX26,Hàn Quốc,DD2,26.25,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX27,Văn hoá học,D78,26.13,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX27,Văn hoá học,D04,25.31,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX27,Văn hoá học,D01,25.26,Thứ tự NV 10
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX27,Văn hoá học,D14,26.05,Thứ tự NV 10
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX27,Văn hoá học,C00,27.9,Thứ tự NV 1
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX28,Điện ảnh và Nghệ thuật đại chúng,D01,25.77,Thứ tự NV 3
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX28,Điện ảnh và Nghệ thuật đại chúng,D04,25.17,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX28,Điện ảnh và Nghệ thuật đại chúng,D78,26.45,Thứ tự NV 4
QHX - Trường Đại Học Khoa Học Xã Hội và Nhân Văn Hà Nội,QHX28,Điện ảnh và Nghệ thuật đại chúng,C00,27.98,Thứ tự NV 5
LPH - Trường Đại Học Luật Hà Nội,7220201,Ngôn ngữ Anh,A01,24.65,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7220201,Ngôn ngữ Anh,D01,25.25,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D04,26.25,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D05,22.85,Đào tạo tại Phân hiệu Đắk Lắk
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D06,22.85,Đào tạo tại Phân hiệu Đắk Lắk
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,A00,26.15,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,A01,26.15,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,C00,28.15,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D01,22.85,Đào tạo tại Phân hiệu Đắk Lắk
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D02,22.85,Đào tạo tại Phân hiệu Đắk Lắk
LPH - Trường Đại Học Luật Hà Nội,7380101,Luật,D03,22.85,Đào tạo tại Phân hiệu Đắk Lắk
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D04,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D05,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D06,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,A00,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,A01,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,C00,28.85,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D01,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D02,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380107,Luật Kinh tế,D03,26.9,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380109,Luật Thương mại quốc tế,A01,26,Đào tạo tại Hà Nội
LPH - Trường Đại Học Luật Hà Nội,7380109,Luật Thương mại quốc tế,D01,26,Đào tạo tại Hà Nội
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7140231,Sư phạm tiếng Anh,D01; D78; D90; D14,38.45,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7140234,Sư phạm tiếng Trung,D01; D78; D90; D04,37.85,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7140235,Sư phạm tiếng Đức,D01; D78; D90; D05,36.94,
QHF - Trường Đại Học Ngoại Ngữ - ĐH Quốc gia Hà Nội,7140236,Sư phạm tiếng Nhật,D01; D78; D90; D06,37.21,
